Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
3013,Armonia Green Castellon Phase II,ESP,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,"567 kt NH3/y, capacity",295.2,65595,51,,65595,[2633],Castello Port,39.95721371,0.012349413,,,,,
3014,Armonia Green Castellon Phase III,ESP,2031,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,"850 kt NH3/y, capacity",294.1,65364,51,,65364,[2633],Castello Port,39.95721371,0.012349413,,,,,
3015,Armonia Green Galicia Phase I,ESP,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,198 MW,198,44000,34.3,,44000,[2634][3334],A Coruña,43.35926979,-8.405308974,,,,,
3016,Armonia Green Galicia Phase II,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,600 MW,402,89333,69.6,,89333,[2634][3334],A Coruña,43.35926979,-8.405308974,,,,,
3017,Armonia Green Galicia Phase III,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1000 MW ,400,88889,69.3,,88889,[2634][3334],A Coruña,43.35926979,-8.405308974,,,,,
3018,LONGi Urad (Wulate) Rear Banner Integrated wind and solar hydrogen production project,CHN,2027,,Feasibility study,ALK,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,54 kt H2/y capacity,318.6,69263,54,,69263,[2635],Urad Rear Banner (Wulate Rear Banner),41.09157819,107.0459395,,,,,
3019,"Moeve San Roque Energy Park (Algeciras) - Andalusian Green Hydrogen Valley 
CARTEIA Project - Phase 2",ESP,2033,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,1,,,,,,,,,,1,,,500 MW,500,111111,86.6,,111111,,Algeciras Bay,36.185525,-5.388732,,,,,
3020,CF Industries Donaldsonville (LA) Low-Carbon Ammonia,USA,2025,,Operational,NG w CCUS,SMR+CCUS,,,Ammonia,,1,,,,,,,,,,,,,2 MT CO2/y,,,,2000000,250753,[3268],Donaldsonville Nitrogen Complex,30.09898196,-90.95452514,,,,,
3021,Ain Sokhna ammonia project - Phase II,EGY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1,,,,,,,,,,,,,1 GW - 800 kt NH3/y production,500,111111,86.6,,111111,[1388] [2108] [2648],Ain Sokhna,29.659369,32.34481,,,,,
3023,Smartenergy Green H2 Project,EGY,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,,,,1,,,,,,1,,,1 GW - 150 kt H2/y - 830 kt NH3/y,1000,222222,173.3,,222222,[2650],Suez Canal Economic Zone,29.659369,32.34481,,,,,
3024,SK Ecoplant-CSCEC Consortium Green H2 project,EGY,2029,,Concept,SOEC,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,250MW  or  50 kt H2/y converted to 250 kt NH3/y capacity,250.0,65789,51.3,,65789,[2651] [2728],Suez Canal Economic Zone,29.659369,32.34481,,,,,
3025,Abu Qir Fertilizers Green Ammonia Project,EGY,,,Concept,Other Electrolysis,Unknown PtX,N/A,,Ammonia,,1,,,,,,,,,,,,,2.4 kt NH3/d capacity,910.5,202328,158,,202328,[2652],Abu Qir,31.27341997,30.09729773,,,,,
3026,Kibbuts Yotvata Hydrogen Valley,ISR,,,Concept,Other Electrolysis,E-TAC,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,"30 Mwel 
(inlcuding 0.4 MW from pilot phase)",30,6667,5.2,,6667,[2653] [2654],Kibbuts Yotvata,29.89567986,35.05564153,,,,,
3027,Gaia-H2Pro Project,MAR,,,DEMO,Other Electrolysis,E-TAC,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,10- 20 MW,15,3333,2.6,,3333,[2655],Random location Morocco,33.60868385,-7.147512542,,,,,
3028,Gaia-Ajlan Bros Green H2 Project,MAR,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,320 kt H2/y - 1400 kt NH3/y capacity,1847.0,410446,320,,410446,[2656],Random location Morocco,33.60868385,-7.147512542,,,,,
3029,Dakhla-Atlantic International Green Moleucle Hub,MAR,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,1,,,1,1,,,,,,,,,,,,,,0,[2657] [2658],Dakhla,23.72174627,-15.9445519,,,,,
3030,S2H2+Bm Green H2 Project - Phase I,MAR,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,3.1 MW,3.1,689,0.5,,689,[2659],"Random point in ""Southern half of Morocco""",23.458663,-13.92510001,,,,,
3031,S2H2+Bm Green H2 Project - Phase II,MAR,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,500 kt H2/y capacity,2882.8,640633,499,,640633,[2659],"Random point in ""Southern half of Morocco""",23.458663,-13.92510001,,,,,
3032,Oman Shell’s Blue Hydrogen & Ammonia project - Blue Horizon,OMN,,,Feasibility study,NG w CCUS,,,,H2,,1,,,1,,,,,,,,,,3 kt NH3/d capacity,,252910,197,,0,[2660] [2661],Duqm,19.52817869,57.61694245,,,,,
3033,Uniper Masdar Hydrogen Solar PV Park,ARE,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,,,,,,0,[2662],Random location in UAE,23.78335686,52.76882644,,,,,
3034,"Green Hydrogen and Ammonia Production Project, - Abu Dhabi",ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,200 MW,200,44444,34.7,,44444,[2663],"Barakah, Abu Dhabi",23.97271719,52.23033977,,,,,
3035,Prumo-Fuella ammonia plant,BRA,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,,,,,,,,,,,,,,520 MW - 400 kt NH3/y,520,115556,90.1,,115556,[2663],Port of Açu,-21.86672922,-41.01598431,,,,,
3036,Green Hydrogen Venezia,ITA,2026,,Feasibility study,PEM,,Grid,,H2,,,,,,1,,,,,,,,,8 MW - 1.7 t H2/d,8,1778,1.4,,1778,[2664],Venice,45.43956545,12.31752678,,,,,
3037,New Horizon,FRA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1,,,,,,,,,,,,,100 MW,100,22222,17.3,,22222,[2667],"Gonfreville-l'Orcher, Le Havre, Seine-Maritime",49.48724424,0.234639468,,,,,
3038,Olga,ITA,2026,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,1,,,,,,,,,1 MW,1,217,0.2,,217,,Airport Milano Malpensa (Varese) ,45.62314082,8.745472351,,,,,
3039,TES Tree Energy Solutions - UAE Project,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,,,500 MW,500,111111,86.6,,111111,,Random point in UAE,24.0165844,53.54111166,,,,,
3040,TES Tree Energy Solutions - Oman Project,OMN,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,,,500 MW,500,111111,86.6,,111111,,Random point in Oman,23.22735216,56.78053589,,,,,
3041,Project Nour - Phase 2,MRT,2033,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,,1,,,,,,,,,,,8.5 Gwel additional,8500,1888889,1472.7,,1888889,[2668],Random location in Mauritania,19.171723,-15.994444,,,,,
3042,H2 Magallanes - Phase 2,CHL,2035,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,,,,,,,,,,,,,,3.7 Gwel,3700,822222,641.0,,822222,[1145][2590],San Gregorio,-52.27645457,-69.52290731,,,,,
3043,Guelmim-Oued Noun - Chbika project - phase 2,MAR,2032,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,800 Mwel additional,800,177778,138.6,,177778,,Random location in south of Morocco,28.266656,-10.716838,,,,,
3045,Voltalia plant at Pecem Industrial complex - Phase 2,BRA,2032,,Concept,Other Electrolysis,Unknown PtX,Grid+Renewables,,Ammonia,,1,,,,,,,,,,,,,2GW,1000,222222,173.3,,222222,,Pecem Industrial complex,-3.530928034,-38.79237746,,,,,
3047,Innio Jenbach - H2 Ready ,AUT,2025,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,,1,,,,,,,,2 MW,2,385,0.3,,385,,Jenbach,47.39624488,11.77978603,,,,,
3048,Campbeltown Hydrogen SIU,GBR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,20 MW,20,4444,3.5,,4444,,Campbeltown,55.4242924,-5.612319788,,,,,
3050,Didcot Green Hydrogen Electrolyser,GBR,2028,,FID/Construction,ALK,,N/A,,H2,,,,,,,1,,,,,,,,10MW,10,2174,1.7,,2174,,Didcot,51.61642493,-1.249911372,,,,,
3051,Markinch Green Hydrogen,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,1,,,,,100MW,100,22222,17.3,,22222,,Glenrothes,56.20690813,-3.170161204,,,,,
3052,Oban Hydrogen SIU,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,20 MW,20,4444,3.5,,4444,,Random location in the UK,50.97256807,-0.449573568,,,,,
3053,Pembroke power station - Pembroke Green Hydrogen/Net Zero Centre (Phase 2),GBR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,,,,,,,,310 MW,200,44444,35,,44444,,Pembroke power station,51.68455515,-4.982472845,,,,,
3054,Port of Tilbury Green Hydrogen (Phase 1),GBR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,10MW,10,2222,1.7,,2222,,Tilbury,51.45927733,0.346296995,,,,,
3055,Port of Tilbury Green Hydrogen (Phase 2),GBR,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,100MW,90,20000,15.6,,20000,,Tilbury,51.45927733,0.346296995,,,,,
3056,RWE Grangemouth,GBR,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,1,,,,1,,,,,,,,,,200MW,200,44444,34.7,,44444,[2672],Grangemouth,56.0224734,-3.707249585,,,,,
3057,Stornoway Hydrogen SIU,GBR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,20 MW,20,4444,3.5,,4444,,Stornoway,58.20944375,-6.374979597,,,,,
3058,Thurso Hydrogen SIU,GBR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,20 MW,20,4444,3.5,,4444,,Stornoway,58.20944375,-6.374979597,,,,,
3059,Wick Hydrogen SIU,GBR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,20 MW,20,4444,3.5,,4444,,Wick,58.43430591,-3.09907292,,,,,
3060,"Dolphyn 1, phase 3",GBR,2034,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,4000MW,3900,866667,675.7,,866667,,15 km Southeast Aberdeen,57.06520831,-1.89828763,,,,,
3061,Green Hydrogen 1/HyRo Scotland,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,11 MW,15,3333,2.6,,3333,,Lanark,55.67035232,-3.782029222,,,,,
3062,Kimberly-Clark Coleshill/HyRo 2,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,11MW,11,2444,1.9,,2444,,Flint,53.24333606,-3.149134387,,,,,
3063,Whitelee Green Hydrogen Facility (Phase 2),GBR,2029,,Feasibility study,PEM,,Grid+Renewables,Onshore wind,H2,,,,,1,1,,,,,,,,,10 MW ,10,1923,1.5,,1923,,Whitelee wind farm,55.71249156,-4.341732424,,,,,
3064,Grenian Hydrogen - Middlewich,GBR,2026,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,7.5MW,7.5,1442,1.1,,1442,[2673],Middlewich,53.18809533,-2.443116875,,,,,
3065,Grenian Hydrogen - Speke,GBR,2028,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,,0.0,,,,0,[2673],Speke,53.35187507,-2.853197973,,,,,
3066,Grenian Hydrogen - St Helens,GBR,2026,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,7.5MW,7.5,1442,1.1,,1442,[2673],St Helens,53.45676971,-2.705638713,,,,,
3067,Grenian Hydrogen - Stretford,GBR,2026,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,7.5MW,7.5,1442,1.1,,1442,[2673],Stretford,53.44965458,-2.311910909,,,,,
3068,Grenian Hydrogen - Winnington,GBR,2026,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,7.5MW,7.5,1442,1.1,,1442,[2673],Winnington,53.26530034,-2.531298028,,,,,
3069,Grenian Hydrogen - Wrexham,GBR,2030,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,1,,,,,,,,,,,0.0,,,,0,[2673],Wrexham,53.04032759,-3.011002817,,,,,
3070,H2H/Easington Hydrogen Production Green,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,,,,,1,,,1000MW,1000,222222,173.3,,222222,[2458],Easington ,54.78173123,-1.354129377,,,,,
3071,"Humber H2ub (Green), phase 2",GBR,,,Concept,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,1,,,,,,,,,,,,,,80MW,80,17778,13.9,,17778,[852][2674],Killingholme Power Station,53.65480155,-0.254668893,,,,,
3072,HyMarnham,GBR,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,15MW,15,3333,2.6,,3333,[3292],Newark,53.07872147,-0.791358689,,,,,
3073,Inverness hydrogen hub - Phase 2,GBR,2030,,Concept,ALK,,Other/Unknown,,H2,,,,,,1,,,,,,,,,24 MW,18,3913,3.1,,3913,[3107],Inverness,57.477772,-4.224721,,,,,
3074,Lowestoft PowerPark hydrogen,GBR,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,2 MW ,2,444,0.3,,444,,Lowestoft,52.47434195,1.758480168,,,,,
3075,trans,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,1,1,,,,,,,,,5 MW ,5,1111,0.9,,1111,[2675],"Derrintonny, Northern Ireland",54.14189151,-7.587925197,,,,,
3076,Saltend Chemicals Park - Hull - phase 2,GBR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,1,,,,,,,,,200 MW ,100,22222,17.3,,22222,[1867] [2676],"Hull, UK",53.76880722,-0.326574708,,,,,
3077,Net Zero Hub - West Isles,GBR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,50 MW ,50,11111,8.7,,11111,,Stornoway,58.21185487,-6.380740746,,,,,
3078,Protium - Wilton Universal Group Teeside (Phase 1),GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,17.2 MW,17.2,3822,3.0,,3822,,Wilton Universal Group Teeside facility,54.58674987,-1.228746646,,,,,
3079,Protium Project Pioneer 2,GBR,2025,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,2.5 MW,2.5,481,0.4,,481,[2677],Random location in South Wales,51.59304175,-3.336501815,,,,,
3080,Tees Green Methanol,GBR,2034,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,,,,1,,,,,,,,,200 MW ,200,44444,34.7,,44444,[2678],Middlesbrough,54.61213285,-1.147065663,,,,,
3082,Sullom Voe Terminal Hydrogen Project (Phase 1),GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,50 MW,50,11111,8.7,,11111,,Sullom,60.44117244,-1.353205406,,,,,
3083,Sullom Voe Terminal Hydrogen Project (Phase 2),GBR,2032,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,300 MW,250,55556,43.3,,55556,,Sullom,60.44117244,-1.353205406,,,,,
3085,Tees Valley Transport Hub,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,26 MW ,26,5778,4.5,,5778,[3106],Middlesbrough,54.61213285,-1.147065663,,,,,
3086,Kvinesdal Ammonia A Energi,NOR,2029,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,,,,1,,,,,,,,,,600 MW,600,133333,104.0,,133333,[3079],"Lervik, Oyestranda",58.27453972,6.875575503,,,,,
3087,Hyperion H2 Alandroal- Phase 2,PRT,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,150 MW,100,22222,17.3,,22222,,Alandroal,38.708759,-7.400782,,,,,
3088,Hyperion H2 Alandroal- Phase 3,PRT,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,250 MW,100.0,22222,17.3,,22222,,Alandroal,38.708759,-7.400782,,,,,
3089,EDP Ribatejo - ALHIVE Alenquer,PRT,2026,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,,,1,,,,,,,,5 MW,5,962,0.7,,962,,Carregado,39.0276428,-8.950727451,,,,,
3090,Energi Hub Kjerlingland,NOR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,5 MW,5,1111,0.9,,1111,,Lillesand ,58.25818901,8.368855779,,,,,
3091,ETFuels - Ranua,FIN,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,MeOH,,,,,,1,,,,,,,,,350 MW,350,77778,60.6,,77778,[2681],Ranua,65.92816662,26.51595538,,,,,
3092,EuroWind Energy  Monte Das Areias ,PRT,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,1,,,,,,,4 MW,4,889,0.7,,889,,Castelo Branco ,39.83936163,-7.478576159,,,,,
3093,Galway Green Hydrogen Hub,IRL,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,1,,,,,,,,,1.2 MW,1.2,267,0.2,,267,,Galway,53.29355033,-9.05080704,,,,,
3094,Green ammonia Plant in Korgen,NOR,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,Ammonia,,1,,,,,,,,,,,,,560MW,260.0,57778,45.0,,57778,[2684][3220],Korgen -Mo i Rana ,66.0767907,13.81808925,,,,,
3095,Green NortH2 Energy Naantali,FIN,2027,,Feasibility study,PEM,,Other/Unknown,Unknown,Ammonia,,1,,,1,,,,,,,,,,280MW,280.0,53846,42.0,,53846,[2685][2686],Naantali,60.41952832,21.89368216,,,,,
3096,Green NortH2 Energy Pori,FIN,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,Ammonia,,1,,,1,,,,,,,,,,280MW,280.0,62222,48.5,,62222,[2686] [2687],Pori,61.48154107,21.82141972,,,,,
3097,"GreenH Bodo, phase 1",NOR,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,20MW,20.0,4444,3.5,,4444,[2688][2840][2845],Langstranda- Bodo,67.26824865,14.3343841,,,,,
3098,GreenH Kristiansund,NOR,2026,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,1,,,,,,,,,24MW,10.0,2174,1.7,,2174,[2689][2840],Kristiansund,63.11055399,7.734593503,,,,,
3099,GreenH Sandnessjøen,NOR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,1,,,,1,,,,,20MW,20.0,4444,3.5,,4444,[2690],Sandessjøen,66.0216537,12.63059862,,,,,
3100,H2 Solar Rodao,PRT,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,1,,1,,,,,30MW,30.0,6667,5.2,,6667,[2691],Vila Velha de Ródão,39.65436463,-7.668814036,,,,,
3101,H2Enable (Phase 2),PRT,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,510 MW,470.0,104444,81.4,,104444,[2692],Estarreja,40.75973363,-8.573266985,,,,,
3102,H2Enable (Phase 3),PRT,2035,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,910 MW,400.0,88889,69.3,,88889,[2692],Estarreja,40.75973363,-8.573266985,,,,,
3103,H2Enable (Phase 4),PRT,2040,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1510 MW,600.0,133333,104.0,,133333,[2692],Estarreja,40.75973363,-8.573266985,,,,,
3104,H2Hub HyChem,PRT,2026,,Feasibility study,ALK,,Dedicated renewable,Solar PV,H2,,,,,1,,,1,,,,,,,10 MW,10.0,2174,1.7,,2174,[2693],Vila Franca de Xira,38.95050551,-8.990685059,,,,,
3105,Hardanger Hydrogen Hub,NOR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,,,,,,,,,,75 MW,75.0,16667,13.0,,16667,[2694],Tyssedal,60.11683934,6.560769081,,,,,
3109,HTWO-Fuel Lutelandet,NOR,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Synfuels,,,,,,,,,,,,1,,,20 MW,20.0,4444,3.5,,4444,[2698],Lutelandet,61.25642939,4.964049203,,,,,
3110,HyFuel Floro/ Fjord base,NOR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,20 MW,20.0,4444,3.5,,4444,[2699],Floro,61.5996884,5.034780312,,,,,
3112,Kvina Energy Park,NOR,2028,,Feasibility study,ALK,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,500 MW,500.0,108696,84.7,,108696,[2702],Kvinesdal,58.32153037,6.968945736,,,,,
3113,Landsvirkjun - Ljósifoss Hydropower Station,ISL,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,10 MW,10.0,2222,1.7,,2222,[2703],Ljósafoss,64.09415044,-21.00986786,,,,,
3114,Neptun Tromso,NOR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,70 MW,70.0,15556,12.1,,15556,[2704],Tromso,69.6837748,18.94273332,,,,,
3115,Nesbruket Gen2 plant 2,NOR,2027,,Feasibility study,ALK,,Dedicated renewable,Unknown,Synfuels,,,,,,,,,,,,1,,,100MW,100,21739,16.9,,21739,[2705],Mosjoen,65.83662968,13.19286291,,,,,
3116,Norwegian Hydrogen - Tau,NOR,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,10 MW,10.0,2222,1.7,,2222,[2706],Tau,59.06469843,5.922976614,,,,,
3117,Rorvik hydrogen hub,NOR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,20 MW,20.0,4444,3.5,,4444,,Kråkøya,64.88837532,11.30016875,,,,,
3118,WinPower - PtX Sines project,PRT,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,160 MW,160.0,35556,27.7,,35556,[2707],Sines,37.95961408,-8.858586399,,,,,
3119,Waawaata Green Hydrogen,COL,2032,,Feasibility study,PEM,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,1400 MW,1400.0,269231,209.9,,269231,,"Uribia, La Guajira",11.71362939,-72.26231412,,,,,
3120,Sumitomo Hydrogen Cluster,COL,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,1,,,,,,,,,,30 MW,30.0,6667,5.2,,6667,[3105],Barranquilla,11.01537518,-74.83104443,,,,,
3121,EPM Ammonia Project,COL,2030,,Feasibility study,PEM,,Grid+Renewables,,Ammonia,,1,,,,,,,,,,,,,330 kt NH3/y capacity,396.3,76219,59,,76219,[3085],Cartagena,10.41505379,-75.46955925,,,,,
3122,e-Colibrí 1,COL,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,Synfuels,,,,,,,,,,,,1,,,100 MW - 5 kt synfuel/y capacity,100.0,22222,17.3,,22222,,Bogota,4.724925596,-74.06387682,,,,,
3123,e-Colibrí 2,COL,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,Synfuels,,,,,,,,,,,,1,,,45 MW - 2.2 kt synfule/y capacity,45.0,10000,7.8,,10000,,Cartagena,10.41505379,-75.46955925,,,,,
3124,Andes Energy,COL,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,MeOH,,,1,,1,,,,,,1,,,,28 MW - 75 kt MeOH/y capacity,28.0,6222,4.9,,6222,,Valle de Cauca,3.599658106,-76.39860901,,,,,
3125,Lhyfe Lubmin,DEU,2029,,Concept,Other Electrolysis,Unknown PtX,Grid+Renewables,,H2,,,,,,,,1,,,,,,,800 MW,800.0,177778,138.6,,177778,[2700],Lubmin,45.30914768,5.906512194,,,,,
3126,Haapavesi biorefinery facility,FIN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Synfuels,,,,,,,,,,,,,,,65 kt synfuel/y capacity,246.8,54850,42.8,,54850,[2711],Haapavesi,64.14813405,25.35260306,,,,,
3128,NeoGreen Portugal - Palmela projetc,PRT,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,1,,,,,,,,,10MW,10,2222,1.7,,2222,[2709],Palmela,38.56940654,-8.900066298,,,,,
3129,AMEA- Mauritania project,MRT,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,3 GW,3000,666667,519.8,,666667,[2712],Random location in Mauritania,19.53825498,-13.20681463,,,,,
3130,Green Springs,AUS,2030,,Concept,ALK,,Dedicated renewable,Solar PV,H2,,1,1,,,,,,,,,,,,500 kt H2/y capacity,2950.1,641322,500,,641322,[2714],"Tennant Creek, Northern Territory",-19.67237952,134.1874853,,,,,
3131,Hydro Havrand - Hoyanger,NOR,2025,,FID/Construction,PEM,,Dedicated renewable,Hydropower,H2,,,,,1,,,,,,,,,,5 MW,5.0,962,0.7,,962,[2770],Hoyanger,61.22025291,6.075355118,,,,,
